source,title,company,location,skills,link,skills_extracted,scraped_at
remoteok,senior site reliability engineer,ping identity,usa,"['design', 'software', 'devops', 'cloud', 'senior', 'operations', 'reliability', 'engineer', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-senior-site-reliability-engineer-ping-identity-1130376,"['cloud', 'design', 'devops', 'digital nomad', 'engineer', 'operations', 'reliability', 'senior', 'software']",
remoteok,regional sales manager,halter,victoria,"['manager', 'support', 'growth', 'leader', 'management', 'junior', 'operations', 'sales', 'health']",https://remoteOK.com/remote-jobs/remote-regional-sales-manager-halter-1130375,"['growth', 'health', 'junior', 'leader', 'management', 'manager', 'operations', 'sales', 'support']",
remoteok,associate director adobe target,bounteous,canada,"['director', 'design', 'security', 'training', 'consulting', 'consultancy', 'technical', 'support', 'testing', 'test', 'code', 'education', 'management', 'marketing', 'analytics', 'health', 'ecommerce', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-associate-director-adobe-target-bounteous-1130374,"['analytics', 'code', 'consultancy', 'consulting', 'design', 'digital nomad', 'director', 'ecommerce', 'education', 'health', 'management', 'marketing', 'security', 'support', 'technical', 'test', 'testing', 'training']",
remoteok,enterprise account executive pacific nw,firemon,"usa, remote","['hr', 'system', 'security', 'technical', 'support', 'software', 'growth', 'banking', 'strategy', 'management', 'sales', 'executive']",https://remoteOK.com/remote-jobs/remote-enterprise-account-executive-pacific-nw-firemon-1130373,"['banking', 'executive', 'growth', 'hr', 'management', 'sales', 'security', 'software', 'strategy', 'support', 'system', 'technical']",
remoteok,full stack software engineer,cala health,sf bay area,"['software', 'frontend', 'full-stack', 'medical', 'engineer', 'engineering', 'backend', 'full-time']",https://remoteOK.com/remote-jobs/remote-full-stack-software-engineer-cala-health-1130372,"['backend', 'engineer', 'engineering', 'frontend', 'full-stack', 'full-time', 'medical', 'software']",
remoteok,director of field and partner marketing,minio,remote,"['director', 'design', 'architect', 'web', 'leader', 'strategy', 'lead', 'marketing', 'sales', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-director-of-field-and-partner-marketing-minio-1130371,"['architect', 'design', 'digital nomad', 'director', 'lead', 'leader', 'marketing', 'sales', 'strategy', 'web']",
remoteok,director pbm product strategy and delivery,"affirmedrx, pbc",remote,"['director', 'strategy', 'health', 'non tech']",https://remoteOK.com/remote-jobs/remote-director-pbm-product-strategy-and-delivery-affirmedrx-pbc-1130370,"['director', 'health', 'non tech', 'strategy']",
remoteok,senior sales manager,diversified automation,"louisville, ky","['manager', 'software', 'growth', 'travel', 'microsoft', 'senior', 'sales']",https://remoteOK.com/remote-jobs/remote-senior-sales-manager-diversified-automation-1130369,"['growth', 'manager', 'microsoft', 'sales', 'senior', 'software', 'travel']",
remoteok,customer success technician,teleo,texas,"['technical', 'test', 'travel', 'robotics', 'senior', 'operations', 'engineering']",https://remoteOK.com/remote-jobs/remote-customer-success-technician-teleo-1130368,"['engineering', 'operations', 'robotics', 'senior', 'technical', 'test', 'travel']",
remoteok,senior sales engineer,ping identity,san francisco,"['technical', 'cloud', 'management', 'senior', 'sales', 'engineer']",https://remoteOK.com/remote-jobs/remote-senior-sales-engineer-ping-identity-1130367,"['cloud', 'engineer', 'management', 'sales', 'senior', 'technical']",
remoteok,senior software engineer angular .net,3pillar,canada,"['software', 'design', 'salesforce', 'architect', 'technical', 'growth', 'code', 'web', 'cloud', 'angular', 'api', 'management', 'lead', 'senior', 'junior', 'health', 'engineer', 'engineering', 'backend', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-angular-net-3pillar-1130366,"['angular', 'api', 'architect', 'backend', 'cloud', 'code', 'design', 'digital nomad', 'engineer', 'engineering', 'growth', 'health', 'junior', 'lead', 'management', 'salesforce', 'senior', 'software', 'technical', 'web']",
